14,64,0.226592
14,128,0.205344
14,256,0.203744
15,64,0.247616
15,128,0.365696
15,256,0.237824
16,64,0.336704
16,128,0.32144
16,256,0.325664
17,64,0.555968
17,128,0.535008
17,256,0.531104
18,64,0.833472
18,128,1.05923
18,256,1.37696
19,64,1.72714
19,128,1.9657
19,256,1.83747
20,64,3.50992
20,128,3.48182
20,256,3.86202
21,64,7.14394
21,128,7.40531
21,256,6.78637
22,64,13.1843
22,128,13.5767
22,256,13.4446
23,64,28.0308
23,128,26.1649
23,256,26.8784
24,64,52.471
24,128,56.6953
24,256,51.6229
25,64,104.416
25,128,97.0674
25,256,111.433
26,64,192.448
26,128,196.489
26,256,188.424
27,64,368.457
27,128,381.004
27,256,384.923
28,64,735.254
28,128,803.574
28,256,748.43
