14,64,0.444032
14,128,0.436096
14,256,0.431744
15,64,0.455296
15,128,0.457472
15,256,0.453536
16,64,0.507808
16,128,0.512576
16,256,0.506528
17,64,0.517248
17,128,0.509056
17,256,0.516576
18,64,0.622656
18,128,0.613056
18,256,0.61824
19,64,0.797152
19,128,0.80192
19,256,0.80592
20,64,0.861856
20,128,0.857248
20,256,0.859584
21,64,0.878048
21,128,1.76902
21,256,1.7695
22,64,0.886112
22,128,1.80797
22,256,3.4472
23,64,0.893792
23,128,1.83395
23,256,3.41619
24,64,0.920544
24,128,1.81507
24,256,3.54368
25,64,1.05446
25,128,1.89654
25,256,3.53814
26,64,1.78915
26,128,1.80403
26,256,3.53414
27,64,3.3063
27,128,3.29334
27,256,3.4999
28,64,6.06154
28,128,5.85008
28,256,5.84205
